Id,Name,Year,Gender,Count
1069453,Jessica,1990,F,46466
1069454,Ashley,1990,F,45549
1069455,Brittany,1990,F,36535
1069456,Amanda,1990,F,34406
1069457,Samantha,1990,F,25864
1069458,Sarah,1990,F,25808
1069459,Stephanie,1990,F,24856
1069460,Jennifer,1990,F,22221
1069461,Elizabeth,1990,F,20742
1069462,Lauren,1990,F,20498
1069463,Megan,1990,F,20255
1069464,Emily,1990,F,19358
1069465,Nicole,1990,F,17950
1069466,Kayla,1990,F,17536
1069467,Amber,1990,F,15863
1069468,Rachel,1990,F,15703
1069469,Courtney,1990,F,15377
1069470,Danielle,1990,F,14330
1069471,Heather,1990,F,14217
1069472,Melissa,1990,F,13996
1069473,Rebecca,1990,F,13670
1069474,Michelle,1990,F,13417
1069475,Tiffany,1990,F,13157
1069476,Chelsea,1990,F,12782
1069477,Christina,1990,F,11925
1069478,Katherine,1990,F,11617
1069479,Alyssa,1990,F,11261
1069480,Jasmine,1990,F,11033
1069481,Laura,1990,F,10908
1069482,Hannah,1990,F,10275
1069483,Kimberly,1990,F,10192
1069484,Kelsey,1990,F,9494
1069485,Victoria,1990,F,9104
1069486,Sara,1990,F,8972
1069487,Mary,1990,F,8664
1069488,Erica,1990,F,8603
1069489,Alexandra,1990,F,8506
1069490,Amy,1990,F,8456
1069491,Crystal,1990,F,8218
1069492,Andrea,1990,F,8210
1069493,Kelly,1990,F,8135
1069494,Kristen,1990,F,8073
1069495,Erin,1990,F,7985
1069496,Brittney,1990,F,7428
1069497,Anna,1990,F,7288
1069498,Taylor,1990,F,7256
1069499,Maria,1990,F,7181
1069500,Allison,1990,F,7130
1069501,Cassandra,1990,F,7053
1069502,Caitlin,1990,F,7025
1069503,Lindsey,1990,F,6782
1069504,Angela,1990,F,6664
1069505,Alicia,1990,F,6510
1069506,Jamie,1990,F,6510
1069507,Katie,1990,F,6510
1069508,Vanessa,1990,F,6405
1069509,Kathryn,1990,F,6350
1069510,Morgan,1990,F,6047
1069511,Jordan,1990,F,5954
1069512,Whitney,1990,F,5903
1069513,Brianna,1990,F,5678
1069514,Christine,1990,F,5673
1069515,Natalie,1990,F,5632
1069516,Lisa,1990,F,5344
1069517,Kristin,1990,F,5301
1069518,Alexis,1990,F,5255
1069519,Jacqueline,1990,F,5238
1069520,Shannon,1990,F,5185
1069521,Lindsay,1990,F,5036
1069522,Brooke,1990,F,4988
1069523,Catherine,1990,F,4892
1069524,Olivia,1990,F,4622
1069525,April,1990,F,4570
1069526,Erika,1990,F,4566
1069527,Katelyn,1990,F,4485
1069528,Monica,1990,F,4452
1069529,Kristina,1990,F,4390
1069530,Kaitlyn,1990,F,4312
1069531,Paige,1990,F,4112
1069532,Molly,1990,F,3964
1069533,Jenna,1990,F,3958
1069534,Leah,1990,F,3924
1069535,Julia,1990,F,3908
1069536,Bianca,1990,F,3826
1069537,Tara,1990,F,3821
1069538,Melanie,1990,F,3812
1069539,Marissa,1990,F,3806
1069540,Cynthia,1990,F,3794
1069541,Holly,1990,F,3771
1069542,Abigail,1990,F,3719
1069543,Meghan,1990,F,3693
1069544,Kathleen,1990,F,3669
1069545,Julie,1990,F,3655
1069546,Ariel,1990,F,3604
1069547,Alexandria,1990,F,3594
1069548,Veronica,1990,F,3588
1069549,Patricia,1990,F,3579
1069550,Diana,1990,F,3543
1069551,Gabrielle,1990,F,3541
1069552,Shelby,1990,F,3517
1069553,Kaitlin,1990,F,3472
1069554,Margaret,1990,F,3370
1069555,Brandi,1990,F,3340
1069556,Krystal,1990,F,3289
1069557,Natasha,1990,F,3267
1069558,Casey,1990,F,3261
1069559,Bethany,1990,F,3235
1069560,Haley,1990,F,3199
1069561,Briana,1990,F,3067
1069562,Kara,1990,F,3036
1069563,Rachael,1990,F,3028
1069564,Miranda,1990,F,2957
1069565,Breanna,1990,F,2952
1069566,Dana,1990,F,2932
1069567,Leslie,1990,F,2828
1069568,Caroline,1990,F,2817
1069569,Kendra,1990,F,2788
1069570,Sabrina,1990,F,2722
1069571,Angelica,1990,F,2717
1069572,Karen,1990,F,2713
1069573,Felicia,1990,F,2702
1069574,Jillian,1990,F,2677
1069575,Brenda,1990,F,2633
1069576,Ana,1990,F,2609
1069577,Desiree,1990,F,2575
1069578,Meagan,1990,F,2531
1069579,Katrina,1990,F,2479
1069580,Chelsey,1990,F,2447
1069581,Valerie,1990,F,2427
1069582,Emma,1990,F,2415
1069583,Nancy,1990,F,2384
1069584,Monique,1990,F,2362
1069585,Alison,1990,F,2361
1069586,Alisha,1990,F,2343
1069587,Sandra,1990,F,2343
1069588,Britney,1990,F,2293
1069589,Brandy,1990,F,2263
1069590,Joanna,1990,F,2230
1069591,Gina,1990,F,2208
1069592,Grace,1990,F,2186
1069593,Sierra,1990,F,2168
1069594,Candace,1990,F,2164
1069595,Jaclyn,1990,F,2155
1069596,Adriana,1990,F,2149
1069597,Krista,1990,F,2143
1069598,Alexa,1990,F,2131
1069599,Candice,1990,F,2116
1069600,Lacey,1990,F,2047
1069601,Rebekah,1990,F,2041
1069602,Sydney,1990,F,2026
1069603,Nichole,1990,F,1992
1069604,Denise,1990,F,1955
1069605,Dominique,1990,F,1945
1069606,Ashlee,1990,F,1941
1069607,Anne,1990,F,1926
1069608,Yesenia,1990,F,1922
1069609,Kirsten,1990,F,1869
1069610,Deanna,1990,F,1854
1069611,Claire,1990,F,1851
1069612,Colleen,1990,F,1807
1069613,Audrey,1990,F,1797
1069614,Mallory,1990,F,1782
1069615,Carly,1990,F,1777
1069616,Tabitha,1990,F,1765
1069617,Cristina,1990,F,1762
1069618,Raven,1990,F,1758
1069619,Priscilla,1990,F,1753
1069620,Stacey,1990,F,1735
1069621,Carolyn,1990,F,1714
1069622,Carrie,1990,F,1707
1069623,Kiara,1990,F,1690
1069624,Susan,1990,F,1685
1069625,Stacy,1990,F,1668
1069626,Angel,1990,F,1663
1069627,Linda,1990,F,1660
1069628,Mercedes,1990,F,1654
1069629,Autumn,1990,F,1652
1069630,Ashleigh,1990,F,1623
1069631,Kylie,1990,F,1612
1069632,Teresa,1990,F,1610
1069633,Gabriela,1990,F,1603
1069634,Kelli,1990,F,1603
1069635,Caitlyn,1990,F,1585
1069636,Renee,1990,F,1572
1069637,Arielle,1990,F,1569
1069638,Cindy,1990,F,1567
1069639,Ebony,1990,F,1567
1069640,Justine,1990,F,1565
1069641,Karina,1990,F,1561
1069642,Meredith,1990,F,1555
1069643,Bridget,1990,F,1545
1069644,Hillary,1990,F,1524
1069645,Daisy,1990,F,1520
1069646,Amelia,1990,F,1511
1069647,Mayra,1990,F,1502
1069648,Theresa,1990,F,1500
1069649,Madeline,1990,F,1492
1069650,Claudia,1990,F,1490
1069651,Sasha,1990,F,1488
1069652,Heidi,1990,F,1465
1069653,Robin,1990,F,1412
1069654,Destiny,1990,F,1408
1069655,Madison,1990,F,1408
1069656,Lydia,1990,F,1405
1069657,Savannah,1990,F,1401
1069658,Wendy,1990,F,1398
1069659,Barbara,1990,F,1388
1069660,Melinda,1990,F,1381
1069661,Tamara,1990,F,1378
1069662,Ellen,1990,F,1377
1069663,Alejandra,1990,F,1376
1069664,Chloe,1990,F,1369
1069665,Marie,1990,F,1340
1069666,Jenny,1990,F,1338
1069667,Virginia,1990,F,1335
1069668,Kasey,1990,F,1331
1069669,Jocelyn,1990,F,1317
1069670,Carmen,1990,F,1315
1069671,Jade,1990,F,1312
