ride_id,trip_time,trip_dist,plan_id,hr_start,dow,time_slot,batt_perc,dist_h,price,start_location_id,lat,lng,end_location_id,lat,lng
211870,11.33669315,3,Pro,0,1,0,0.361142857,0.287168327,2,104,37.7947,-122.41096,56,37.7715782,-122.442181
211871,36.61688005,2,Pro,0,1,0,0.979784367,0.080455832,4,21,37.775606,-122.416976,42,37.74981,-122.43179
211885,17.90073617,3.6,Go,4,1,0,0.5,0.019225247,3,90,37.7841745,-122.48046,9,37.791758,-122.404929
211890,15.33067948,3.2,Other,5,1,1,0.897714286,0.119213506,3,97,37.804907,-122.441988,26,37.791638,-122.391761
211894,138.1133344,5.3,Other,6,1,1,0.848,0.030644601,8,55,37.77744,-122.46494,87,37.795342,-122.398735
211896,149.2820891,3.8,Pro,6,1,1,0.905142857,0.32448733,10,55,37.77744,-122.46494,58,37.75714,-122.41164
211899,215.3590252,8.4,Go,6,1,1,0.68,0.034209173,24,43,37.77747,-122.433245,46,37.75643,-122.392803
211900,17.07420103,3.8,Go,6,1,1,0.739892183,0.025122709,3,67,-37.7755654,-122.4595967,72,37.784608,-122.39941
211902,15.27682902,3,Go,6,1,1,0.482285714,0.056047155,2,35,37.775745,-122.44145,3,37.776114,-122.396138
211905,11.89531743,2.4,Pro,6,1,1,0.529714286,0.047417591,2,35,37.775745,-122.44145,8,37.788628,-122.420008
211907,15.55512817,2.1,Pro,6,1,1,0.789142857,0.100896519,2,43,37.77747,-122.433245,14,37.799715,-122.435161
211911,21.8564415,3.5,Pro,6,1,1,0.919811321,0.210984029,2,42,37.74981,-122.43179,23,37.773084,-122.390665
211917,23.05032817,4.3,Other,7,1,1,1,0.09047785,2,2,37.756834,-122.420208,40,37.762109,-122.472704
211922,11.12629017,1,Pro,7,1,1,0.979784367,0.07589844,2,43,37.77747,-122.433245,21,37.775606,-122.416976
211926,25.94269842,4.2,Go,7,1,1,0.809142857,0.160202174,4,15,37.7401135,-122.4158218,72,37.784608,-122.39941
211928,7.5338965,1,Other,7,1,1,0.962857143,0.187001504,0,63,37.7797245,-122.3958602,1,37.783622,-122.404401
211932,26.52299375,3.3,Other,7,1,1,0.862285714,0.215457267,0,43,37.77747,-122.433245,18,37.757891,-122.390586
211934,20.23184447,3.6,Other,7,1,1,0.505142857,0.206198958,0,51,37.757731,-122.424756,13,37.798434,-122.409468
211935,15.7542111,3.3,Pro,7,1,1,1,0.098357322,2,80,37.770631,-122.450446,72,37.784608,-122.39941
211936,23.38885082,2.4,Intro_Pro,7,1,1,0.803428571,0.200283823,2,100,37.805479,-122.431806,87,37.795342,-122.398735
211940,13.26787175,2.1,Pro,7,1,1,0.699460916,0.053646603,2,15,37.7401135,-122.4158218,58,37.75714,-122.41164
211942,10.70241388,2.3,Pro,7,1,1,0.796571429,0.285065249,2,76,-37.784009,-122.442189,9,37.791758,-122.404929
211944,14.86344883,3.4,Pro,7,1,1,0.789142857,0.287048625,2,55,37.77744,-122.46494,29,37.790226,-122.406267
211945,17.46567032,1.8,Pro,7,1,1,0.808571429,0.443314483,2,58,37.75714,-122.41164,23,37.773084,-122.390665
211946,10.18397762,1.3,Other,7,1,1,0.809973046,0.010093618,5,52,37.762962,-122.401703,23,37.773084,-122.390665
211949,19.67177153,2.5,Pro,7,1,1,0.401142857,0.114828724,2,43,37.77747,-122.433245,29,37.790226,-122.406267
211952,35.02104882,5.1,Pro,7,1,1,0.799865229,0.324742442,4,40,37.762109,-122.472704,91,37.776215,-122.398149
211959,39.47840177,3.1,Pro,7,1,1,0.679919137,0.227403023,4,55,37.77744,-122.46494,29,37.790226,-122.406267
211961,17.24795852,2,Intro_Pro,7,1,1,0.951428571,0.389353301,2,43,37.77747,-122.433245,91,37.776215,-122.398149
