Japanese,Dutch,Danish
161.7831301,187.7262861,174.746213
145.3299343,179.3387407,174.1335786
174.5695974,176.5666562,178.9667453
160.0031622,184.5702448,179.3352217
162.2428982,184.0561815,167.4979918
167.417577,183.7253582,176.0458699
162.5436049,182.4228065,175.6640376
142.6135499,175.8065702,169.2883688
171.2360157,183.0937588,172.7862198
159.0156838,183.445651,183.6767926
167.7180389,176.5625849,168.1560883
173.3547275,179.0970674,172.670315
154.0830352,179.7091386,172.0249857
174.340027,174.2615524,177.4529113
184.2595347,,182.8621053
170.1384384,,174.4282881
158.6926675,,176.8941851
153.5715025,,170.916827
190.2681321,,178.9259127
161.1931326,,178.5193121
131.7157181,,
169.9743741,,
168.7731664,,
158.1904002,,
157.2853464,,
167.2545789,,
165.5879006,,
151.6849343,,
