,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,normalized_price
0,2265,Zen-East in the Heart of Austin,2466,Paddy,,78702,30.277500166425124,-97.71397539807082,Entire home/apt,200,2,22,2018-05-28,0.19,3,62,0.27404718693284935
1,5245,"Green, Colorful, Clean &  Cozy home",2466,Paddy,,78702,30.275773562681064,-97.71379268080736,Private room,125,2,9,2018-03-14,0.08,3,163,0.13793103448275862
2,5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26111594777699,-97.7344828448813,Entire home/apt,95,2,450,2018-09-08,3.88,1,300,0.08348457350272233
3,6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24829103402697,-97.7372619766628,Entire home/apt,99,3,75,2018-04-30,0.7,1,37,0.09074410163339383
4,6448,Secluded Studio in 78704 (Zilker),14156,Amy,,78704,30.26027321597547,-97.76502893291756,Entire home/apt,129,3,187,2018-09-03,2.19,1,165,0.14519056261343014
5,14765,"30's Cottage, Trav Height, SoCo, mins to Downtown",57982,Charla,,78704,30.25015000579444,-97.74190244276241,Entire home/apt,260,2,40,2018-05-28,0.6,1,354,0.38294010889292196
6,14913,Blue Boy Club House / Music Venue,58635,Steven,,78748,30.156451818347694,-97.82411380406157,Entire home/apt,300,1,25,2018-08-26,0.46,1,364,0.455535390199637
7,21126,Explore Travis Heights from a Mid-Century Retreat,80406,Dani,,78704,30.24503145875851,-97.74075434877605,Entire home/apt,550,1,61,2018-07-29,0.89,11,133,0.9092558983666061
8,21145,"Central, Pet Friendly, Private Pool, Non Smoking",80511,April,,78705,30.29422337500771,-97.74618066924437,Entire home/apt,200,2,27,2018-07-31,0.86,1,138,0.27404718693284935
9,22166,Close in Hill country views NW ,84906,Stacey,,78759,30.389573310608988,-97.76215610149508,Entire home/apt,155,30,9,2015-07-04,0.09,1,254,0.19237749546279492
10,22828,Garage Apartment near S Congress,56488,David,,78741,30.23564410896854,-97.73146426884428,Entire home/apt,49,31,33,2018-07-15,0.32,1,231,0.0
11,22982,Private Clarksville 2-1/Sleeps Six,89031,Gina,,78703,30.280273477972145,-97.75595562290295,Entire home/apt,100,2,103,2018-08-14,1.0,1,281,0.0925589836660617
12,27632,Clarksville Condo - Minutes to DT!,119441,Angele,,78703,30.277224807676173,-97.76087567380188,Entire home/apt,100,2,84,2018-09-03,0.86,1,324,0.0925589836660617
13,32396,South Austin Comfort,140174,Tiffany,,78749,30.20272666958141,-97.84438945512736,Entire home/apt,55,1,9,2012-10-02,0.09,1,0,0.010889292196007259
